Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
2160, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
2180, 32, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
2200, 33, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
2220, 34, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
2240, 35, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
2260, 36, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
2280, 37, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
2300, 38, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
2320, 39, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
2340, 3A, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
2360, 3B, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
2380, 3C, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
2400, 3D, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
2420, 3E, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
2440, 3F, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
2460, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
2480, 41, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
2500, 42, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
2520, 43, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
2540, 44, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
2560, 45, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
2580, 46, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
2600, 47, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
2620, 48, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
2640, 49, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
2660, 4A, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
2680, 4B, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
2700, 4C, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
2720, 4D, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
2740, 4E, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
2760, 4F, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
2780, 50, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
2800, 51, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
2820, 52, 0, 1, 0, 1, 0, 0, 1, 0, 0, 
2840, 53, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
2860, 54, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
2880, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
2900, 56, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
2920, 57, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
2940, 58, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
2960, 59, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
2980, 5A, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
3000, 5B, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
3020, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
3040, 5D, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
3060, 5E, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
3080, 5F, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
3100, 60, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
3120, 61, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
3140, 62, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
3160, 63, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
3180, 64, 0, 1, 1, 0, 0, 1, 0, 0, 0, 
3200, 65, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
3220, 66, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
3240, 67, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
3260, 68, 0, 1, 1, 0, 1, 0, 0, 0, 0, 
3280, 69, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
3300, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 0, 
3320, 6B, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
3340, 6C, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
3360, 6D, 0, 1, 1, 0, 1, 1, 0, 1, 0, 
3380, 6E, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
3400, 6F, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
3420, 70, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
3440, 71, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
3460, 72, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
3480, 73, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
3500, 74, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
3520, 75, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
3540, 76, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
3560, 77, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
3580, 78, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
3600, 79, 0, 1, 1, 1, 1, 0, 0, 1, 0, 
3620, 7A, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
3640, 7B, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
3660, 7C, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
3680, 7D, 0, 1, 1, 1, 1, 1, 0, 1, 0, 
3700, 7E, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
3720, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
3740, 80, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
3760, 81, 1, 0, 0, 0, 0, 0, 0, 1, 0, 
3780, 82, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
3800, 83, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
3820, 84, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
3840, 85, 1, 0, 0, 0, 0, 1, 0, 1, 0, 
3860, 86, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
3880, 87, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
3900, 88, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
3920, 89, 1, 0, 0, 0, 1, 0, 0, 1, 0, 
3940, 8A, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
3960, 8B, 1, 0, 0, 0, 1, 0, 1, 1, 0, 
3980, 8C, 1, 0, 0, 0, 1, 1, 0, 0, 0, 
4000, 8D, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
4020, 8E, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
4040, 8F, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
4060, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 
4080, 91, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
4100, 92, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
4120, 93, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
4140, 94, 1, 0, 0, 1, 0, 1, 0, 0, 0, 
4160, 95, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
4180, 96, 1, 0, 0, 1, 0, 1, 1, 0, 0, 
4200, 97, 1, 0, 0, 1, 0, 1, 1, 1, 0, 
4220, 98, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
4240, 99, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
4260, 9A, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
4280, 9B, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
4300, 9C, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
4320, 9D, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
4340, 9E, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
4360, 9F, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
4380, A0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
4400, A1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
4420, A2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
4440, A3, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
4460, A4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 
4480, A5, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
4500, A6, 1, 0, 1, 0, 0, 1, 1, 0, 0, 
4520, A7, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
4540, A8, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
4560, A9, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
4580, AA, 1, 0, 1, 0, 1, 0, 1, 0, 0, 
4600, AB, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
4620, AC, 1, 0, 1, 0, 1, 1, 0, 0, 0, 
4640, AD, 1, 0, 1, 0, 1, 1, 0, 1, 0, 
4660, AE, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
4680, AF, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
4700, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
4720, B1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
4740, B2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
4760, B3, 1, 0, 1, 1, 0, 0, 1, 1, 0, 
